"iteration","energy","clark_evans_r","canopy_cover","cbd","cbd_mean","cfl","canopy_depth","n_trees","accepted"
100,3138.16958719056,0.991988246025847,0.60625,1.14516640629596,1.14516640629596,8.99978525537925,6.67146131296725,36,TRUE
200,2518.71783522601,0.910022917097616,0.5775,1.13957823202802,1.13957823202802,8.18011652134606,6.67565300453205,33,TRUE
300,1939.89090051605,0.892695303432206,0.534375,1.11051963373866,1.11051963373866,7.3127450936302,6.24185610827261,35,TRUE
400,1594.54712860165,0.982553788312045,0.554375,1.11042227707089,1.11042227707089,6.71636182586243,6.01460079073861,34,FALSE
500,1348.16398082751,0.900669394770551,0.484375,1.05194589770026,1.05194589770026,6.27661691256042,5.71563308641238,36,TRUE
600,1181.30246517764,0.986290705504428,0.595625,1.00434382779519,1.00434382779519,5.91821695090978,5.52703755766927,38,TRUE
700,816.842076849765,1.04352524106545,0.526875,0.961926242295576,0.961926242295576,5.11013194393365,5.22367437446343,37,TRUE
800,922.662841928767,1.08198722818773,0.59,0.990550323636498,0.990550323636498,5.31095218179864,5.58781688405069,35,TRUE
900,1280.5791573847,0.980670592711159,0.5975,0.990495679074527,0.990495679074527,6.09334079017137,5.73681023483705,38,TRUE
1000,723.865977565507,0.901897974700417,0.436875,0.985444319787697,0.985444319787697,4.85197458141166,5.46138983661655,36,TRUE
1100,529.190045833933,0.921509534225264,0.455,0.966257656705942,0.966257656705942,4.26961520018742,5.37308366379396,33,TRUE
1200,898.376074632776,0.966756009464445,0.51,1.02023562760989,1.02023562760989,5.26457397814871,5.51208558691623,37,TRUE
1300,813.024669680607,1.00002313635544,0.55125,1.00419964752892,1.00419964752892,5.05675870439936,5.69883655259908,34,TRUE
1400,951.897922836692,0.861360780079948,0.513125,1.02164092848446,1.02164092848446,5.39743952521252,5.81300614069136,34,TRUE
1500,904.578914889212,1.00706643931277,0.563125,0.938356453550269,0.938356453550269,5.29963745577407,5.68979793128898,38,TRUE
1600,893.362077336029,0.871068035377344,0.47375,0.976386374240297,0.976386374240297,5.27588565136973,5.64010259867159,37,TRUE
1700,797.035258717721,0.865501252791898,0.465625,0.998387651860286,0.998387651860286,5.02229539420839,5.51531805592134,36,TRUE
1800,960.874187491588,1.12354133019278,0.536875,1.01455999235656,1.01455999235656,5.40614838654411,5.59396401742428,37,TRUE
1900,761.722106431162,1.0469743206617,0.555,0.94497724045273,0.94497724045273,4.92659078441068,5.48722353810135,36,TRUE
2000,695.57998398773,1.01673695092654,0.5525,0.964246735273167,0.964246735273167,4.75780225186313,5.41516979967223,36,TRUE
2100,763.022846215628,1.17833262576672,0.523125,0.960918199936971,0.960918199936971,4.9419428028594,5.59531116879915,35,TRUE
2200,798.175473349399,0.893189854072242,0.506875,0.933197809504576,0.933197809504576,5.02672708243436,5.57827214210561,36,FALSE
2300,802.298871717907,1.03191958412898,0.461875,0.93675986632084,0.93675986632084,5.04604312036112,5.64616668851163,36,TRUE
2400,1030.69449891941,0.920672570546012,0.52,0.962136810082383,0.962136810082383,5.56264865206169,5.82391539622295,37,TRUE
2500,812.855769375909,1.03181828897627,0.53875,0.953852534926071,0.953852534926071,5.0504808061383,5.48380460031469,38,TRUE
2600,873.469441030517,0.931238598433635,0.5575,1.00313312755256,1.00313312755256,5.19465940606367,5.63458790686186,35,TRUE
2700,473.862645885786,0.875600344666899,0.436875,0.983388742386457,0.983388742386457,4.0703452589904,5.46921972575341,29,FALSE
2800,334.365965236299,0.953711620555212,0.400625,0.952979740185182,0.952979740185182,3.54998717053613,5.05628472527106,31,TRUE
2900,617.092768914775,1.02421778494208,0.51125,0.940673675200485,0.940673675200485,4.53925836890464,5.27427503767165,36,TRUE
3000,581.602520817736,1.01439468818913,0.4825,0.998625055804291,0.998625055804291,4.43611705335027,5.31052511059908,34,TRUE
3100,900.156736274468,1.07202609393905,0.561875,1.01591153516258,1.01591153516258,5.2561907033597,5.51521186314998,36,TRUE
3200,987.275765895057,1.00455546724047,0.51375,1.03753972502356,1.03753972502356,5.45962362882916,5.80535839240012,35,TRUE
3300,715.699730303691,0.969304015177119,0.46375,0.994842739758874,0.994842739758874,4.80597992540696,5.76781843039818,32,TRUE
3400,763.961954546726,0.94615382005956,0.525,0.938384132365199,0.938384132365199,4.93941189483746,5.53176071341896,37,TRUE
3500,664.648511623009,0.964894052315975,0.476875,0.94562984230457,0.94562984230457,4.6937068636712,5.68862693988674,32,TRUE
3600,995.604665775283,1.03500044387835,0.5875,0.976315356798474,0.976315356798474,5.520497997772,5.53635940412861,38,TRUE
3700,1097.33991028847,1.15485515580342,0.563125,1.00864888111731,1.00864888111731,5.71898314919961,5.9396452907163,35,TRUE
3800,739.285148227887,0.937117897450699,0.51125,0.950830754052584,0.950830754052584,4.89154625830317,5.67954062116311,35,TRUE
3900,763.643064262231,0.862159451958925,0.5125,0.981904280693714,0.981904280693714,4.93866459590927,5.33539004460906,38,TRUE
4000,861.930798815211,1.02789612260193,0.565,1.01348785786999,1.01348785786999,5.16137555686013,5.45358631387481,36,TRUE
4100,641.235463590123,0.87062541815399,0.449375,0.994118250577518,0.994118250577518,4.60850992972286,5.50973980894953,33,TRUE
4200,682.324069419734,0.978227271943886,0.50875,0.974733740495792,0.974733740495792,4.71667659375255,5.44374605802863,36,TRUE
4300,547.428643251275,0.91825435305298,0.475625,0.952600342408958,0.952600342408958,4.34721231355333,5.1902987949329,36,TRUE
4400,448.683110861413,0.987922215459033,0.50375,0.953058466311349,0.953058466311349,4.0059747837228,5.09674328501974,36,FALSE
4500,634.537827814918,0.89816713846023,0.53375,0.978432525508379,0.978432525508379,4.59740861112167,5.21827827621283,37,TRUE
4600,706.028107062954,0.904654497056388,0.494375,0.976182635905032,0.976182635905032,4.80339245079499,5.39138239568936,36,TRUE
4700,620.244680418627,0.993968981551944,0.4725,1.02283800625127,1.02283800625127,4.47930664628605,5.50634548649695,32,TRUE
4800,690.699654595462,1.10389552937273,0.535,1.00513294801968,1.00513294801968,4.69185852887502,5.54041592351417,34,TRUE
4900,905.255759382133,0.936576925205207,0.508125,1.02667203391693,1.02667203391693,5.26859563155502,5.73102157346507,34,TRUE
5000,1062.88202062566,1.05200498290752,0.6125,0.978385300196459,0.978385300196459,5.63576750562645,5.81199021345758,37,TRUE
